Location ID,Room No.,Room Name,Location Type,Floor,Quadrangle,Description
LOC84,139,Class Room,Classroom,1st Floor,Q1,A focused learning environment where students develop knowledge through teaching and interactive activities
LOC85,140,Class Room,Classroom,1st Floor,Q1,"An organized learning environment designed to facilitate teaching, communication, and student collaboration."
LOC86,,Lift 2,Lift,1st Floor,Q1,Lift 2 providing convenient access from the first floor to the second floor.
LOC87,,Ladies Washroom,Washroom,1st Floor,Q1,Conveniently located washroom facility for female students and staff on the first floor.
LOC88,,Incubation centre,club,1st Floor,Q1,"A collaborative space that supports innovative ideas, student projects, entrepreneurship, and the development of new ventures."
LOC89,126,Department of Microbiology,Department,1st Floor,Q2,"Academic department focused on the study of microorganisms, laboratory learning, research, and practical applications."
LOC90,127,Pasteur Lab,Laboratory,1st Floor,Q2,"A dedicated laboratory for practical experiments, scientific investigation, and hands-on learning."
LOC91,125,Leeuwenhoek lab,Laboratory,1st Floor,Q2,"A specialized laboratory supporting microbiology practicals, microscopic studies, experiments, and hands-on scientific learning."
LOC92,123,seminar hall-2,classroom,1st Floor,Q2,A focused learning environment where students develop knowledge through teaching and interactive activities
LOC93,122,M.Sc. Nutrition Lab (Swastya),Laboratory,1st Floor,Q2,"A practical learning space for nutrition studies, food-related experiments, and hands-on learning in health and wellness."
LOC94,,Staircase C,Staircase,1st Floor,Q2,"Staircase C connecting the first and second floors, providing easy access between the two levels."
LOC95,121, Computer science (staff room),Staff Room,1st Floor,Q2,"Dedicated workspace for Computer Science faculty supporting teaching, academic planning, student guidance, and departmental activities."
LOC96,118,Computer science lab -2,Laboratory,1st Floor,Q2,"A modern computer lab equipped with smart computers and a smart board for programming, practical sessions, and interactive learning."
LOC97,117,Computer science lab -1,Laboratory,1st Floor,Q2,"A technology-enabled lab with smart computers and a smart board, supporting programming practice, practical learning, and interactive sessions."
LOC98,115,Sankhya (Statistics Lab),Laboratory,1st Floor,Q2,"A specialized learning space for statistical analysis, data interpretation, practical exercises, and hands-on learning."
LOC99,114,ICT Information & Computer Technology Centre,Laboratory,1st Floor,Q2,"A technology-focused centre supporting digital learning, computer-based activities, ICT resources, and technical development."
LOC100,113,Parasarah lab,Laboratory,1st Floor,Q2,"A dedicated laboratory that provides students with opportunities for practical learning, experimentation, and hands-on academic exploration."
LOC101,112,Botany lab -1(calvin),Laboratory,1st Floor,Q2,"A vibrant learning space where students explore the world of plants through observation, experimentation, and practical study. 🌱"
LOC102,111,J.C bose Research lab,Research Laborator,1st Floor,Q2,"A dedicated research space where students and faculty explore scientific ideas, conduct experiments, and work on innovative research projects."
LOC103,110,Botany store ,Storage Facility,1st Floor,Q2,"A dedicated storage space for botanical specimens, laboratory materials, equipment, and other resources used for academic and practical"
LOC104,202,Department of Social Science,Academic Department,2,Q1,"Academic department responsible for teaching, learning, research, and student activities related to various social science disciplines."
LOC104,203,PC Paradise,Computer Facility,2,Q1,"Computer facility providing students with access to computers and digital resources for academic work, learning, and practical activities."
LOC105,204,Digital Delight,Computer Facility,2,Q1,"Digital and computer facility used for accessing technology, digital resources, and computer-based academic activities."
LOC106,207,Lift,Lift,2,Q1,"Lift facility providing convenient vertical access between different floors of the college building for students, staff, and visitors."
,,,,,,
LOC107,208,Room 208,Classroom,2,Q1,"Academic room used for teaching, learning, meetings, and other college-related activities."
LOC108,209,Room 209,Classroom,2,Q1,"Academic room used for lectures, student learning, and other institutional activities."
LOC109,210,Psychology Lab,Laboratory,2,Q1,"Laboratory used for practical learning, experiments, demonstrations, and academic activities related to psychology."
LOC110,211,Room 211,Classroom,2,Q1,"Academic room used for teaching, learning, meetings, and other educational activities."
LOC111,212,Room 212,Classroom,2,Q1,"Academic room used for lectures, learning activities, and other college-related academic purposes."
LOC112,213,Room 213,Classroom,2,Q2,"Academic room used for teaching, learning, meetings, and other institutional activities."
LOC113,214,Department of Psychology,Academic Department,2,Q2,"Academic department responsible for teaching, learning, research, and practical studies in psychology."
LOC114,215,Commerce Lab,Laboratory,2,Q2,"Practical learning facility supporting commerce-related academic activities, computer-based work, and practical exercises."
LOC115,216,Room 216,Classroom,2,Q2,"Academic room used for lectures, student learning, and other college-related activities."
LOC116,216A,Room 216A,Classroom MS'c,2,Q2,"Academic room used for teaching, learning, meetings, or other institutional activities."
LOC117,216,Room 216,Classroom BCA,2,Q2,"Academic room used for classes, learning activities, and other educational purposes."
LOC118,217,Room 217,Classroom,2,Q2,"Academic room used for classes, learning activities, and other educational purposes."
LOC119,218,Room 218,Classroom,2,Q2,"Academic room used for teaching, learning, meetings, and other college activities."
LOC120,219,Department of Mathematics,Academic Department,2,Q2,Academic department responsible for teaching and research in mathematics and supporting students in mathematical studies.
LOC121,220,Department of Physics,Academic Department,2,Q2,"Academic department responsible for teaching, practical learning, research, and laboratory-based studies in physics."
LOC122,221,Room 221,Classroom,2,Q2,"Academic room used for lectures, teaching, learning, and other institutional activities."
LOC123,222,Room 222,Classroom,2,Q2,"Academic room used for classes, student learning, and other academic activities."
LOC124,223,Room 223,Classroom,2,Q2,"Academic room used for teaching, learning, meetings, and other college-related activities."
LOC125,224,Room 224,Classroom,2,Q2,Academic room used for classes and other educational or institutional activities.
LOC126,225,Room 225,Classroom,2,Q2,"Academic room used for teaching, learning, meetings, and other college activities."
LOC127,226,Room 226,Classroom,2,Q1,"Academic room used for lectures, teaching, learning, and student activities."
LOC128,227,Room 227,Classroom,2,Q1,"Academic room used for classes, learning activities, and other institutional purposes."
LOC129,228,Room 228,Classroom,2,Q1,"Academic room used for teaching, learning, meetings, and other college-related activities."
LOC130,229,Department of Statistics,Academic Department,2,Q1,"Academic department responsible for teaching and research in statistics, including statistical methods, analysis, and practical studies."
LOC131,230,Room 230,Classroom,2,Q1,"Academic room used for teaching, learning, meetings, and other institutional activities."
LOC132,231,Room 231,Classroom,2,Q1,"Academic room used for classes, teaching, learning, and other college-related activities."
LOC133,231A,Washroom,Washroom,2,Q1,"Washroom facility provided for students, staff, and visitors on the second floor."
LOC134,233,Department of Languages (Sanskrit),Academic Department,2,Q1,"Academic department responsible for teaching, learning, and study of Sanskrit language, literature, and related subjects."
LOC135,234,Room 234,Classroom,2,Q1,"Academic room used for lectures, learning, meetings, and other institutional activities."
LOC136,234A,Department of Business Management,Academic Department,2,Q1,"Academic department responsible for teaching and learning in business management, administration, and related areas."
LOC137,235,Room 235,Classroom,2,Q1,"Academic room used for teaching, learning, meetings, and other college-related activities."
LOC138,237A,Store room,Store,2,Q1,
LOC139,301,NCC,Organisation/Office,3,Q1,"Facility associated with the National Cadet Corps, supporting student participation in training, discipline, leadership, and community activities."
LOC140,302,English Lab,Laboratory,3,Q2,"Language laboratory supporting English-language learning, communication practice, listening activities, and other language-based academic work."
LOC141,303,Room 303,Classroom,3,Q2,"Academic room used for teaching, learning, meetings, and other college-related activities."
LOC142,304,Room 304,Classroom,3,Q2,"Academic room used for classes, student learning, and other educational activities."
LOC143,305,Room 305,Classroom,3,Q2,"Academic room used for lectures, teaching, learning, and institutional activities."
LOC144,306,Room 306,Classroom,3,Q2,"Academic room used for teaching, learning, meetings, and other college activities."
LOC145,307,Room 307,Classroom,3,Q2,Academic room used for classes and other academic or institutional activities.
LOC146,308,Room 308,Classroom,3,Q2,"Academic room used for teaching, learning, meetings, and student activities."
LOC147,309,Room 309,Classroom,3,Q2,"Academic room used for lectures, learning, and other college-related activities."
LOC148,310,M.Com,Academic Department/Classroom,3,Q2,Room associated with the Master of Commerce (M.Com) programme for postgraduate teaching and academic activities.
LOC149,311,Room 311,Classroom,3,Q1,"Academic room used for teaching, learning, meetings, and other institutional activities."
LOC150,312,Room 312,Classroom,3,Q1,"Academic room used for classes, lectures, and other academic activities."
LOC151,313,Room 313,Classroom,3,Q1,"Academic room used for teaching, learning, and college-related activities."
LOC152,314,Room 314,Classroom,3,Q1,"Academic room used for classes, meetings, and other institutional purposes."
LOC153,315,Room 315,Classroom,3,Q1,"Academic room used for teaching, learning, and other educational activities."
LOC154,316,Room 316,CL,3,Q1,"Academic room used for lectures, classes, and other college activities."
LOC155,317,EC,Academic/Office,3,Q1,"Facility associated with EC, used for academic or administrative activities within the institution."
LOC156,318,COE Office,Office,3,Q1,"Office of the Controller of Examinations (COE), responsible for examination-related administration, records, scheduling, and academic examination processes."
